2024-Aug-05-15:00:54 , ETL Job Started
2024-Aug-05-15:00:54 , Extract phase Started
2024-Aug-05-15:00:54 , Extract phase Ended
2024-Aug-05-15:00:54 , Transform phase Started
2024-Aug-05-15:00:54 , Transform phase Ended
2024-Aug-05-15:00:54 , Load phase Started
2024-Aug-05-15:00:54 , Load phase Ended
2024-Aug-05-15:00:54 , ETL Job Ended
2024-Aug-05-15:02:35 , ETL Job Started
2024-Aug-05-15:02:35 , Extract phase Started
2024-Aug-05-15:02:35 , Extract phase Ended
2024-Aug-05-15:02:35 , Transform phase Started
2024-Aug-05-15:02:35 , Transform phase Ended
2024-Aug-05-15:02:35 , Load phase Started
2024-Aug-05-15:02:35 , Load phase Ended
2024-Aug-05-15:02:35 , ETL Job Ended
2024-Aug-05-15:04:04 , ETL Job Started
2024-Aug-05-15:04:04 , Extract phase Started
2024-Aug-05-15:05:24 , ETL Job Started
2024-Aug-05-15:05:24 , Extract phase Started
2024-Aug-05-15:05:45 , ETL Job Started
2024-Aug-05-15:05:45 , Extract phase Started
2024-Aug-05-15:06:33 , ETL Job Started
2024-Aug-05-15:06:33 , Extract phase Started
2024-08-05 15:12:02 , ETL job started
2024-Aug-05-15:12:41 , ETL Job Started
2024-Aug-05-15:12:41 , Extract phase Started
2024-Aug-05-15:15:29 , ETL Job Started
2024-Aug-05-15:15:29 , Extract phase Started
2024-Aug-05-15:15:29 , Extract phase Ended
2024-Aug-05-15:15:29 , Transform phase Started
2024-Aug-05-15:15:29 , Transform phase Ended
2024-Aug-05-15:15:29 , Load phase Started
2024-Aug-05-15:15:29 , Load phase Ended
2024-Aug-05-15:15:29 , ETL Job Ended
2024-Aug-05-15:22:20 , ETL Job Started
2024-Aug-05-15:22:20 , Extract phase Started
2024-Aug-05-15:22:20 , Extract phase Ended
2024-Aug-05-15:22:20 , Transform phase Started
2024-Aug-05-15:22:21 , Transform phase Ended
2024-Aug-05-15:22:21 , Load phase Started
2024-Aug-05-15:22:21 , Load phase Ended
2024-Aug-05-15:22:21 , ETL Job Ended
2024-Aug-05-15:22:47 , ETL Job Started
2024-Aug-05-15:22:47 , Extract phase Started
2024-Aug-05-15:24:23 , ETL Job Started
2024-Aug-05-15:24:23 , Extract phase Started
2024-Aug-05-15:27:17 , ETL Job Started
2024-Aug-05-15:27:17 , Extract phase Started
2024-Aug-05-15:28:29 , ETL Job Started
2024-Aug-05-15:28:29 , Extract phase Started
2024-Aug-05-15:28:43 , ETL Job Started
2024-Aug-05-15:28:43 , Extract phase Started
2024-Aug-05-15:28:58 , ETL Job Started
2024-Aug-05-15:28:58 , Extract phase Started
2024-Aug-05-15:28:58 , Extract phase Ended
2024-Aug-05-15:28:58 , Transform phase Started
2024-Aug-05-15:28:58 , Transform phase Ended
2024-Aug-05-15:28:58 , Load phase Started
2024-Aug-05-15:28:58 , Load phase Ended
2024-Aug-05-15:28:58 , ETL Job Ended
2024-Aug-05-15:30:00 , ETL Job Started
2024-Aug-05-15:30:00 , Extract phase Started
2024-Aug-05-15:31:33 , ETL Job Started
2024-Aug-05-15:31:33 , Extract phase Started
2024-Aug-05-15:32:36 , ETL Job Started
2024-Aug-05-15:32:36 , Extract phase Started
2024-Aug-05-15:32:57 , ETL Job Started
2024-Aug-05-15:32:57 , Extract phase Started
2024-Aug-05-15:32:57 , Extract phase Ended
2024-Aug-05-15:32:57 , Transform phase Started
2024-Aug-05-15:32:57 , Transform phase Ended
2024-Aug-05-15:32:57 , Load phase Started
2024-Aug-05-15:32:57 , Load phase Ended
2024-Aug-05-15:32:57 , ETL Job Ended
2024-Aug-05-15:47:15 , ETL Job Started
2024-Aug-05-15:47:15 , Extract phase Started
2024-Aug-05-15:47:15 , Extract phase Ended
2024-Aug-05-15:47:15 , Transform phase Started
2024-Aug-05-15:47:15 , Transform phase Ended
2024-Aug-05-15:47:15 , Load phase Started
2024-Aug-05-15:47:15 , Load phase Ended
2024-Aug-05-15:47:15 , ETL Job Ended
